Id	num	log(num+1)	Cate
PT_23218	12	1.113943352	Plasmids
PT_17345	2	0.477121255	Plasmids
PT_18683	2	0.477121255	Plasmids
PT_19003	3	0.602059991	Plasmids
PT_19452	5	0.77815125	Plasmids
PT_8284	2	0.477121255	Plasmids
PT_3038	184	2.267171728	Plasmids
PT_8670	5	0.77815125	Plasmids
PT_1801	2	0.477121255	Plasmids
PT_8903	419	2.62324929	Plasmids
PT_10125	81	1.913813852	Plasmids
PT_6477	29	1.477121255	Plasmids
PT_22188	1	0.301029996	Plasmids
PT_13410	18	1.278753601	Plasmids
PT_9426	26	1.431363764	Plasmids
PT_5396	1	0.301029996	Plasmids
PT_7344	5	0.77815125	Plasmids
PT_8314	1	0.301029996	Plasmids
PT_21158	14	1.176091259	Plasmids
PT_10115	1	0.301029996	Plasmids
PT_21063	2	0.477121255	Plasmids
PT_6792	15	1.204119983	Plasmids
PT_8252	20	1.322219295	Plasmids
PT_1208	10	1.041392685	Plasmids
PT_393	93	1.973127854	Plasmids
PT_15251	2	0.477121255	Plasmids
PT_7438	3	0.602059991	Plasmids
PT_7247	1	0.301029996	Plasmids
PT_16679	1	0.301029996	Plasmids
PT_7065	2	0.477121255	Plasmids
PT_6988	1	0.301029996	Plasmids
PT_3905	11	1.079181246	Plasmids
PT_4932	6	0.84509804	Plasmids
PT_15419	3	0.602059991	Plasmids
PT_6919	5	0.77815125	Plasmids
PT_100	90	1.959041392	Plasmids
PT_8926	48	1.69019608	Plasmids
PT_9291	41	1.62324929	Plasmids
PT_2115	28	1.462397998	Plasmids
PT_299	257	2.411619706	Plasmids
PT_11012	40	1.612783857	Plasmids
PT_6069	1	0.301029996	Plasmids
PT_6244	8	0.954242509	Plasmids
PT_8777	5	0.77815125	Plasmids
PT_19463	2	0.477121255	Plasmids
PT_12259	7	0.903089987	Plasmids
PT_12812	9	1	Plasmids
PT_7996	3	0.602059991	Plasmids
PT_10039	80	1.908485019	Plasmids
PT_6626	121	2.086359831	Plasmids
PT_10123	5	0.77815125	Plasmids
PT_11229	10	1.041392685	Plasmids
PT_5711	21	1.342422681	Plasmids
PT_3992	10	1.041392685	Plasmids
PT_9690	79	1.903089987	Plasmids
PT_24785	3	0.602059991	Plasmids
PT_7237	3	0.602059991	Plasmids
PT_7139	3	0.602059991	Plasmids
PT_6095	4	0.698970004	Plasmids
PT_13409	94	1.977723605	Plasmids
PT_7832	23	1.380211242	Plasmids
PT_14191	25	1.414973348	Plasmids
PT_14176	1	0.301029996	Plasmids
PT_480	39	1.602059991	Plasmids
PT_2554	2	0.477121255	Plasmids
PT_5532	13	1.146128036	Plasmids
PT_6791	16	1.230448921	Plasmids
PT_6851	7	0.903089987	Plasmids
PT_7869	66	1.826074803	Plasmids
PT_6980	215	2.334453751	Plasmids
PT_6507	9	1	Plasmids
PT_13521	207	2.318063335	Plasmids
PT_13203	10	1.041392685	Plasmids
PT_6862	2	0.477121255	Plasmids
PT_7168	1	0.301029996	Plasmids
PT_15516	8	0.954242509	Plasmids
PT_4992	357	2.553883027	Plasmids
PT_8975	117	2.071882007	Plasmids
PT_14225	15	1.204119983	Plasmids
PT_87	23	1.380211242	Plasmids
PT_9279	121	2.086359831	Plasmids
PT_6910	32	1.51851394	Plasmids
PT_25461	6	0.84509804	Plasmids
PT_14965	1	0.301029996	Plasmids
PT_7252	4	0.698970004	Plasmids
PT_17270	7	0.903089987	Plasmids
PT_3495	6	0.84509804	Plasmids
PT_8757	26	1.431363764	Plasmids
PT_9796	11	1.079181246	Plasmids
PT_22468	2	0.477121255	Plasmids
PT_15221	2	0.477121255	Plasmids
PT_1368	3	0.602059991	Plasmids
PT_6605	4	0.698970004	Plasmids
PT_21946	4	0.698970004	Plasmids
PT_6008	56	1.755874856	Plasmids
PT_17976	15	1.204119983	Plasmids
PT_3572	3	0.602059991	Plasmids
PT_11269	1	0.301029996	Plasmids
PT_12469	1	0.301029996	Plasmids
PT_11178	1	0.301029996	Plasmids
PT_15681	10	1.041392685	Plasmids
PT_463	46	1.672097858	Plasmids
PT_10540	6	0.84509804	Plasmids
PT_3786	1	0.301029996	Plasmids
PT_10189	10	1.041392685	Plasmids
PT_5821	2	0.477121255	Plasmids
PT_6259	1	0.301029996	Plasmids
PT_12559	3	0.602059991	Plasmids
PT_19495	1	0.301029996	Plasmids
PT_8900	14	1.176091259	Plasmids
PT_7041	3	0.602059991	Plasmids
PT_9174	35	1.556302501	Plasmids
PT_323	16	1.230448921	Plasmids
PT_17279	3	0.602059991	Plasmids
PT_17742	4	0.698970004	Plasmids
PT_7134	15	1.204119983	Plasmids
PT_10	103	2.017033339	Plasmids
PT_8367	1	0.301029996	Plasmids
PT_2767	21	1.342422681	Plasmids
PT_1788	12	1.113943352	Plasmids
PT_12904	51	1.716003344	Plasmids
PT_8562	16	1.230448921	Plasmids
PT_7895	8	0.954242509	Plasmids
PT_8523	7	0.903089987	Plasmids
PT_15563	24	1.397940009	Plasmids
PT_2732	2	0.477121255	Plasmids
PT_11590	2	0.477121255	Plasmids
PT_17275	24	1.397940009	Plasmids
PT_10589	3	0.602059991	Plasmids
PT_11862	16	1.230448921	Plasmids
PT_15304	6	0.84509804	Plasmids
PT_7383	3	0.602059991	Plasmids
PT_8992	3	0.602059991	Plasmids
PT_2955	4	0.698970004	Plasmids
PT_12424	4	0.698970004	Plasmids
PT_12853	7	0.903089987	Plasmids
PT_3758	8	0.954242509	Plasmids
PT_11059	1	0.301029996	Plasmids
PT_5454	1	0.301029996	Plasmids
PT_10279	7	0.903089987	Plasmids
PT_8988	26	1.431363764	Plasmids
PT_442	10	1.041392685	Plasmids
PT_9335	7	0.903089987	Plasmids
PT_14070	6	0.84509804	Plasmids
PT_6406	4	0.698970004	Plasmids
PT_7751	3	0.602059991	Plasmids
PT_13060	5	0.77815125	Plasmids
PT_13573	5	0.77815125	Plasmids
PT_17273	1	0.301029996	Plasmids
PT_19163	3	0.602059991	Plasmids
PT_8881	4	0.698970004	Plasmids
PT_8521	18	1.278753601	Plasmids
PT_9455	8	0.954242509	Plasmids
PT_9189	16	1.230448921	Plasmids
PT_1480	9	1	Plasmids
PT_11462	3	0.602059991	Plasmids
PT_1479	3	0.602059991	Plasmids
PT_7014	79	1.903089987	Plasmids
PT_8143	6	0.84509804	Plasmids
PT_22123	1	0.301029996	Plasmids
PT_12289	5	0.77815125	Plasmids
PT_19091	1	0.301029996	Plasmids
PT_10889	1	0.301029996	Plasmids
PT_12367	1	0.301029996	Plasmids
PT_14994	1	0.301029996	Plasmids
PT_7177	1	0.301029996	Plasmids
PT_17393	5	0.77815125	Plasmids
PT_7450	5	0.77815125	Plasmids
PT_19262	5	0.77815125	Plasmids
PT_17750	2	0.477121255	Plasmids
PT_10964	9	1	Plasmids
PT_8227	5	0.77815125	Plasmids
PT_6947	3	0.602059991	Plasmids
PT_20686	2	0.477121255	Plasmids
PT_11621	3	0.602059991	Plasmids
PT_6428	12	1.113943352	Plasmids
PT_15068	40	1.612783857	Plasmids
PT_22170	1	0.301029996	Plasmids
PT_13133	2	0.477121255	Plasmids
PT_25251	2	0.477121255	Plasmids
PT_582	10	1.041392685	Plasmids
PT_334	27	1.447158031	Plasmids
PT_2751	49	1.698970004	Plasmids
PT_12329	2	0.477121255	Plasmids
PT_12351	2	0.477121255	Plasmids
PT_8790	2	0.477121255	Plasmids
PT_13169	1	0.301029996	Plasmids
PT_4841	7	0.903089987	Plasmids
PT_6502	97	1.991226076	Plasmids
PT_6563	1	0.301029996	Plasmids
PT_8292	9	1	Plasmids
PT_9774	43	1.643452676	Plasmids
PT_4389	21	1.342422681	Plasmids
PT_7022	58	1.770852012	Plasmids
PT_4413	1	0.301029996	Plasmids
PT_1364	4	0.698970004	Plasmids
PT_7618	26	1.431363764	Plasmids
PT_2616	2	0.477121255	Plasmids
PT_7286	1	0.301029996	Plasmids
PT_3586	6	0.84509804	Plasmids
PT_7836	50	1.707570176	Plasmids
PT_7714	6	0.84509804	Plasmids
PT_12984	1	0.301029996	Plasmids
PT_26400	1	0.301029996	Plasmids
PT_15961	1	0.301029996	Plasmids
PT_12504	1	0.301029996	Plasmids
PT_8321	1	0.301029996	Plasmids
PT_22172	1	0.301029996	Plasmids
PT_8428	1	0.301029996	Plasmids
PT_15013	2	0.477121255	Plasmids
PT_14852	6	0.84509804	Plasmids
PT_8231	15	1.204119983	Plasmids
PT_1367	16	1.230448921	Plasmids
PT_7908	3	0.602059991	Plasmids
PT_4417	4	0.698970004	Plasmids
PT_10923	1	0.301029996	Plasmids
PT_12207	1	0.301029996	Plasmids
PT_14788	4	0.698970004	Plasmids
PT_1901	13	1.146128036	Plasmids
PT_23914	6	0.84509804	Plasmids
PT_6985	28	1.462397998	Plasmids
PT_7118	12	1.113943352	Plasmids
PT_8582	5	0.77815125	Plasmids
PT_12626	2	0.477121255	Plasmids
PT_21872	24	1.397940009	Plasmids
PT_8074	1	0.301029996	Plasmids
PT_16946	4	0.698970004	Plasmids
PT_23643	3	0.602059991	Plasmids
PT_11170	13	1.146128036	Plasmids
PT_22270	1	0.301029996	Plasmids
PT_900	1	0.301029996	Plasmids
PT_1366	2	0.477121255	Plasmids
PT_5545	4	0.698970004	Plasmids
PT_13500	4	0.698970004	Plasmids
PT_12615	1	0.301029996	Plasmids
PT_960	6	0.84509804	Plasmids
PT_8466	11	1.079181246	Plasmids
PT_3627	2	0.477121255	Plasmids
PT_13939	22	1.361727836	Plasmids
PT_13398	7	0.903089987	Plasmids
PT_8767	5	0.77815125	Plasmids
PT_3279	6	0.84509804	Plasmids
PT_16181	1	0.301029996	Plasmids
PT_17444	1	0.301029996	Plasmids
PT_7934	5	0.77815125	Plasmids
PT_6804	1	0.301029996	Plasmids
PT_14929	1	0.301029996	Plasmids
PT_7195	4	0.698970004	Plasmids
PT_17092	4	0.698970004	Plasmids
PT_4860	2	0.477121255	Plasmids
PT_5063	9	1	Plasmids
PT_8987	15	1.204119983	Plasmids
PT_9615	13	1.146128036	Plasmids
PT_23	1	0.301029996	Plasmids
PT_5893	15	1.204119983	Plasmids
PT_11144	1	0.301029996	Plasmids
PT_12648	1	0.301029996	Plasmids
PT_21881	1	0.301029996	Plasmids
PT_1572	1	0.301029996	Plasmids
PT_4839	15	1.204119983	Plasmids
PT_1369	19	1.301029996	Plasmids
PT_6670	18	1.278753601	Plasmids
PT_23600	1	0.301029996	Plasmids
PT_8313	6	0.84509804	Plasmids
PT_7574	1	0.301029996	Plasmids
PT_5968	1	0.301029996	Plasmids
PT_19438	9	1	Plasmids
VT_24634	5	0.77815125	Plasmids
PT_5916	1	0.301029996	Plasmids
PT_381	15	1.204119983	Plasmids
PT_17300	1	0.301029996	Plasmids
PT_6179	5	0.77815125	Plasmids
PT_13375	2	0.477121255	Plasmids
PT_7280	3	0.602059991	Plasmids
PT_503	5	0.77815125	Plasmids
PT_696	1	0.301029996	Plasmids
PT_13335	3	0.602059991	Plasmids
PT_17099	5	0.77815125	Plasmids
PT_1402	6	0.84509804	Plasmids
PT_8714	4	0.698970004	Plasmids
PT_6066	3	0.602059991	Plasmids
PT_1387	3	0.602059991	Plasmids
PT_14772	2	0.477121255	Plasmids
PT_19629	1	0.301029996	Plasmids
PT_8846	1	0.301029996	Plasmids
PT_5558	1	0.301029996	Plasmids
PT_7185	12	1.113943352	Plasmids
PT_3511	4	0.698970004	Plasmids
PT_7643	7	0.903089987	Plasmids
PT_6939	6	0.84509804	Plasmids
PT_2638	2	0.477121255	Plasmids
PT_6436	1	0.301029996	Plasmids
PT_6496	1	0.301029996	Plasmids
PT_8188	1	0.301029996	Plasmids
PT_13497	9	1	Plasmids
PT_9697	1	0.301029996	Plasmids
PT_7899	1	0.301029996	Plasmids
PT_8452	1	0.301029996	Plasmids
PT_4075	1	0.301029996	Plasmids
PT_6660	2	0.477121255	Plasmids
PT_3342	2	0.477121255	Plasmids
PT_8604	4	0.698970004	Plasmids
PT_22555	6	0.84509804	Plasmids
PT_9032	6	0.84509804	Plasmids
PT_6030	7	0.903089987	Plasmids
PT_20218	9	1	Plasmids
PT_4076	6	0.84509804	Plasmids
PT_5827	4	0.698970004	Plasmids
PT_7297	3	0.602059991	Plasmids
PT_3266	1	0.301029996	Plasmids
PT_39	2	0.477121255	Plasmids
PT_7372	2	0.477121255	Plasmids
PT_12591	2	0.477121255	Plasmids
PT_5915	3	0.602059991	Plasmids
PT_2017	1	0.301029996	Plasmids
PT_335	24	1.397940009	Plasmids
PT_2317	2	0.477121255	Plasmids
PT_6427	1	0.301029996	Plasmids
PT_2688	3	0.602059991	Plasmids
PT_6435	2	0.477121255	Plasmids
PT_16924	6	0.84509804	Plasmids
PT_8646	1	0.301029996	Plasmids
PT_8690	1	0.301029996	Plasmids
PT_5751	1	0.301029996	Plasmids
PT_2673	1	0.301029996	Plasmids
PT_6168	18	1.278753601	Plasmids
PT_4492	1	0.301029996	Plasmids
PT_9037	2	0.477121255	Plasmids
PT_24656	6	0.84509804	Plasmids
PT_1081	1	0.301029996	Plasmids
PT_7307	1	0.301029996	Plasmids
PT_1562	1	0.301029996	Plasmids
PT_7051	4	0.698970004	Plasmids
PT_13229	4	0.698970004	Plasmids
PT_4224	13	1.146128036	Plasmids
PT_5382	1	0.301029996	Plasmids
PT_7287	1	0.301029996	Plasmids
PT_12472	1	0.301029996	Plasmids
PT_6916	3	0.602059991	Plasmids
PT_24982	1	0.301029996	Plasmids
PT_12140	2	0.477121255	Plasmids
PT_10257	1	0.301029996	Plasmids
PT_444	4	0.698970004	Plasmids
PT_14988	5	0.77815125	Plasmids
PT_5503	2	0.477121255	Plasmids
PT_8947	2	0.477121255	Plasmids
PT_964	2	0.477121255	Plasmids
PT_15546	4	0.698970004	Plasmids
PT_6109	1	0.301029996	Plasmids
PT_18185	4	0.698970004	Plasmids
PT_20491	2	0.477121255	Plasmids
PT_7080	2	0.477121255	Plasmids
PT_6959	6	0.84509804	Plasmids
PT_8800	2	0.477121255	Plasmids
PT_8518	2	0.477121255	Plasmids
PT_10024	9	1	Plasmids
PT_7569	5	0.77815125	Plasmids
PT_12320	6	0.84509804	Plasmids
PT_16864	4	0.698970004	Plasmids
PT_8782	26	1.431363764	Plasmids
PT_9794	1	0.301029996	Plasmids
PT_6708	2	0.477121255	Plasmids
PT_25143	2	0.477121255	Plasmids
PT_14001	1	0.301029996	Plasmids
PT_12604	1	0.301029996	Plasmids
PT_12973	3	0.602059991	Plasmids
PT_8394	1	0.301029996	Plasmids
PT_8019	1	0.301029996	Plasmids
PT_3829	1	0.301029996	Plasmids
PT_17203	1	0.301029996	Plasmids
VT_4703	3	0.602059991	Plasmids
PT_22335	2	0.477121255	Plasmids
PT_7091	1	0.301029996	Plasmids
PT_5090	7	0.903089987	Plasmids
PT_6821	1	0.301029996	Plasmids
PT_1745	1	0.301029996	Plasmids
PT_464	10	1.041392685	Plasmids
PT_7754	2	0.477121255	Plasmids
PT_15001	2	0.477121255	Plasmids
PT_1508	5	0.77815125	Plasmids
PT_10157	1	0.301029996	Plasmids
PT_8467	1	0.301029996	Plasmids
PT_14930	1	0.301029996	Plasmids
PT_10273	1	0.301029996	Plasmids
PT_7261	2	0.477121255	Plasmids
PT_4180	1	0.301029996	Plasmids
PT_5794	2	0.477121255	Plasmids
VT_14141	1	0.301029996	Plasmids
PT_12126	4	0.698970004	Plasmids
PT_17056	2	0.477121255	Plasmids
PT_4181	3	0.602059991	Plasmids
PT_10736	6	0.84509804	Plasmids
PT_9669	1	0.301029996	Plasmids
PT_8637	2	0.477121255	Plasmids
PT_17081	3	0.602059991	Plasmids
PT_17163	1	0.301029996	Plasmids
PT_6669	1	0.301029996	Plasmids
PT_15004	3	0.602059991	Plasmids
PT_18922	1	0.301029996	Plasmids
PT_14452	1	0.301029996	Plasmids
PT_12388	1	0.301029996	Plasmids
PT_9160	9	1	Plasmids
PT_28	3	0.602059991	Plasmids
PT_21173	2	0.477121255	Plasmids
PT_7036	3	0.602059991	Plasmids
PT_9530	1	0.301029996	Plasmids
PT_7972	4	0.698970004	Plasmids
PT_6842	3	0.602059991	Plasmids
PT_465	3	0.602059991	Plasmids
PT_13645	1	0.301029996	Plasmids
PT_1667	1	0.301029996	Plasmids
PT_6794	2	0.477121255	Plasmids
PT_1044	2	0.477121255	Plasmids
PT_16619	1	0.301029996	Plasmids
PT_6549	1	0.301029996	Plasmids
PT_6894	2	0.477121255	Plasmids
PT_966	2	0.477121255	Plasmids
PT_8681	2	0.477121255	Plasmids
PT_3510	1	0.301029996	Plasmids
PT_10196	2	0.477121255	Plasmids
PT_19020	2	0.477121255	Plasmids
PT_2539	1	0.301029996	Plasmids
PT_10264	1	0.301029996	Plasmids
PT_8888	1	0.301029996	Plasmids
PT_6934	1	0.301029996	Plasmids
PT_9475	6	0.84509804	Plasmids
PT_13207	1	0.301029996	Plasmids
PT_1545	1	0.301029996	Plasmids
PT_25140	3	0.602059991	Plasmids
PT_3545	1	0.301029996	Plasmids
PT_8206	2	0.477121255	Plasmids
PT_14321	3	0.602059991	Plasmids
PT_2950	2	0.477121255	Plasmids
PT_3887	2	0.477121255	Plasmids
PT_8330	3	0.602059991	Plasmids
PT_8509	1	0.301029996	Plasmids
PT_10128	1	0.301029996	Plasmids
PT_806	2	0.477121255	Plasmids
PT_16965	1	0.301029996	Plasmids
PT_12752	1	0.301029996	Plasmids
PT_8622	1	0.301029996	Plasmids
PT_17091	1	0.301029996	Plasmids
PT_1683	1	0.301029996	Plasmids
PT_13512	1	0.301029996	Plasmids
PT_10280	1	0.301029996	Plasmids
PT_9791	1	0.301029996	Plasmids
PT_9002	3	0.602059991	Plasmids
PT_7186	2	0.477121255	Plasmids
PT_320	1	0.301029996	Plasmids
PT_1819	3	0.602059991	Plasmids
PT_7890	2	0.477121255	Plasmids
PT_17379	2	0.477121255	Plasmids
PT_8113	1	0.301029996	Plasmids
PT_19470	1	0.301029996	Plasmids
PT_1962	1	0.301029996	Plasmids
PT_1034	1	0.301029996	Plasmids
PT_18221	1	0.301029996	Plasmids
PT_8945	3	0.602059991	Plasmids
PT_6753	5	0.77815125	Plasmids
PT_7716	1	0.301029996	Plasmids
PT_486	1	0.301029996	Plasmids
PT_9268	2	0.477121255	Plasmids
PT_9080	1	0.301029996	Plasmids
PT_6703	1	0.301029996	Plasmids
PT_1037	3	0.602059991	Plasmids
PT_9731	1	0.301029996	Plasmids
PT_3546	1	0.301029996	Plasmids
PT_15525	1	0.301029996	Plasmids
PT_13751	1	0.301029996	Plasmids
PT_7329	1	0.301029996	Plasmids
PT_9085	1	0.301029996	Plasmids
PT_8480	1	0.301029996	Plasmids
PT_6815	1	0.301029996	Plasmids
PT_3810	1	0.301029996	Plasmids
PT_20231	1	0.301029996	Plasmids
PT_7730	1	0.301029996	Plasmids
PT_3951	1	0.301029996	Plasmids
PT_7881	1	0.301029996	Plasmids
PT_6568	1	0.301029996	Plasmids
PT_12261	1	0.301029996	Plasmids
PT_6594	1	0.301029996	Plasmids
PT_4830	2	0.477121255	Plasmids
VT_1435	1	0.301029996	Plasmids
PT_8723	1	0.301029996	Plasmids
PT_7560	1	0.301029996	Plasmids
PT_6852	1	0.301029996	Plasmids
PT_8277	1	0.301029996	Plasmids
PT_3405	1	0.301029996	Plasmids
PT_18983	1	0.301029996	Plasmids
PT_12147	1	0.301029996	Plasmids
PT_7122	1	0.301029996	Plasmids
PT_6677	1	0.301029996	Plasmids
PT_10272	1	0.301029996	Plasmids
PT_13458	1	0.301029996	Plasmids
PT_6955	1	0.301029996	Plasmids
PT_1021	1	0.301029996	Plasmids
PT_6499	1	0.301029996	Plasmids
PT_25194	1	0.301029996	Plasmids
PT_578	1	0.301029996	Plasmids
PT_129	1	0.301029996	Plasmids
Acinetobacter_sp.	1673	3.223755454	Bacteria
Acinetobacter_nosocomialis	346	2.540329475	Bacteria
Acinetobacter_soli	77	1.892094603	Bacteria
Acinetobacter_pittii	580	2.764176132	Bacteria
Acinetobacter_towneri	56	1.755874856	Bacteria
Acinetobacter_ursingii	177	2.250420002	Bacteria
Acinetobacter_baumannii	19194	4.283188116	Bacteria
Acinetobacter_haemolyticus	124	2.096910013	Bacteria
Acinetobacter_seifertii	129	2.113943352	Bacteria
Acinetobacter_variabilis	35	1.556302501	Bacteria
Acinetobacter_cumulans	34	1.544068044	Bacteria
Acinetobacter_guillouiae	3	0.602059991	Bacteria
Acinetobacter_indicus	182	2.26245109	Bacteria
Acinetobacter_wuhouensis	31	1.505149978	Bacteria
Acinetobacter_lwoffii	76	1.886490725	Bacteria
Acinetobacter_schindleri	45	1.662757832	Bacteria
Acinetobacter_parvus	4	0.698970004	Bacteria
Acinetobacter_johnsonii	48	1.69019608	Bacteria
Acinetobacter_lactucae	18	1.278753601	Bacteria
Acinetobacter_junii	117	2.071882007	Bacteria
Acinetobacter_bereziniae	117	2.071882007	Bacteria
Acinetobacter_venetianus	8	0.954242509	Bacteria
Acinetobacter_radioresistens	81	1.913813852	Bacteria
Acinetobacter_bouvetii	2	0.477121255	Bacteria
Acinetobacter_pseudolwoffii	22	1.361727836	Bacteria
Acinetobacter_portensis	10	1.041392685	Bacteria
Acinetobacter_chengduensis	5	0.77815125	Bacteria
Acinetobacter_guerrae	8	0.954242509	Bacteria
Acinetobacter_gyllenbergii	3	0.602059991	Bacteria
Acinetobacter_lanii	1	0.301029996	Bacteria
Acinetobacter_oleivorans	13	1.146128036	Bacteria
